郑康业，香港演员，代表作品为《猛鬼舞厅》《猴形扣手》《七十二家房客》等。[1] 	郑康业 香港 演员 代表作品 猛鬼 舞厅 猴形 扣手 七十二家 房客
李特特，是中共领导人李富春与蔡畅夫妇的独生女。1923年2月25日生于法国巴黎。由于父母都在法国勤工俭学并准备赴苏联莫斯科学习，无暇照顾幼小的女儿。其外婆葛健豪便主动承担起抚养外孙女的责任，还给她起了个“特特”名字。在法语里这是“蔡蔡”的意思。显然，葛健豪是取其母姓的叠音。	李特特 中共 领导人 李富春 蔡畅 夫妇 独生女 生于 法国巴黎 父母 法国 勤工俭学 准备 苏联 莫斯科 学习 无暇 照顾 幼小 女儿 外婆 葛健豪 主动 承担 抚养 外孙女 责任 还给 特特 名字 法语 蔡蔡 意思 显然 葛健豪 取其母 叠音
高明，1942年1月28日出生于江苏省，影视演员，中国电影家协会理事，西安电影制片厂国家一级演员。2002年参演《誓言无声》饰演反间谍专家许子风[1] 。2006年参演《闯关东》饰演森田大介[2] 。2008年参演谍战大戏《誓言永恒》饰演许子风[3] 。2009年参演献礼大戏《决战南京》饰演杨百川[4] 。2010年参演《少林寺传奇3》饰演大反派索额图[5] 。2011年参演《国门英雄》饰演老关长[6] 。2012年参演《劝和小组》饰演简爷爷[7] 。2013年参演反贪题材电视剧《守望正义》饰演肖大河[8] 。2015年，主演了根据真实历史事件改编，以经典战例黄土岭战役为背景的电影《诱狼》。2016年4月，拍摄了当代农村反腐题材的《啊，父老乡亲》。	高明 日出 生于 江苏省 影视 演员 中国电影家协会 理事 西安 电影 制片厂 国家一级 演员 参演 誓言 无声 饰演 反间谍 专家 许子 参演 闯关东 饰演 森田大介 参演 谍战 大戏 誓言 永恒 饰演 许子 参演 献礼 大戏 决战 南京 饰演 百川 参演 少林寺 传奇 饰演 反派 索额图 参演 国门 英雄 饰演 关长 参演 小组 饰演 爷爷 参演 反贪 题材 电视剧 守望 正义 饰演 大河 主演 真实 历史 事件 改编 经典 战例 黄土岭 战役 背景 电影 诱狼 拍摄 当代 农村 反腐 题材 父老乡亲
蔡妮（1922--2012），我党早期卓越领导人、中国无产阶级杰出革命家蔡和森、向警予的女儿。北京外国语大学离休干部、俄语学院教授。[1] 2015年4月15日，俄罗斯驻华大使杰尼索夫代表俄罗斯联邦总统普京，向32名为苏联卫国战争(1941-1945年)作出贡献的中国公民，颁发了“伟大卫国战争胜利70周年”纪念奖章。蔡妮是获奖章人之一。[2] 	蔡妮 我党 早期 卓越 领导人 中国 无产阶级 杰出 革命家 蔡和森 向警予 女儿 北京外国语大学 离休干部 俄语 学院 教授 俄罗斯 驻华大使 杰尼索夫 代表 俄罗斯联邦 总统 普京 名为 苏联 卫国战争 作出贡献 中国 公民 颁发 伟大 卫国战争 胜利 周年 纪念 奖章 蔡妮 获奖 章人
杜近芳，女，汉族，1932年出生，北京人。第二批国家级非物质文化遗产项目京剧代表性传承人，京剧表演艺术家，国家一级演员，著名京剧旦角，著名京剧演员，获第六届世界青年联欢节金质奖章。[1] 	杜近芳 汉族 出生 北京 第二批 国家级 物质 文化遗产 项目 京剧 代表性 传承 京剧 表演艺术家 国家一级 演员 著名 京剧 旦角 著名 京剧 演员 第六届 世界 青年 联欢节 金质奖章
许绍雄（HuiSiuHung），1948年出生于香港，中国香港男演员。1972年，许绍雄在第1期无线电视艺员训练班毕业后加入无线电视，曾在无线工作三年后转到丽的电视工作，四年后再回到无线。许绍雄在丽的电视时，是第一个驾驶奔驰（Mercedes-Benz）上班的艺员，所以他亦被人们Benz雄。2012年，获得万千星辉颁奖典礼杰出演员奖。2013年香港TVB2013台庆颁奖礼，许绍雄凭借《My盛Lady》获得最佳男配角。2014年，在周润发主演的电影《澳门风云》中饰演了奔驰哥一角。2015年，在郑中基、何超仪主演的电影《第七谎言》中饰演了包租公。[1] 2016年，回归电影《使徒行者》[2] 。	许绍雄 HuiSiuHung 年出 生于 香港 中国香港 男演员 许绍雄 无线电视 艺员 训练班 毕业 加入 无线电视 无线 工作 三年 转到 电视 工作 四年 回到 无线 许绍雄 在丽 电视 第一个 驾驶 奔驰 Mercedes Benz 上班 艺员 人们 Benz 获得 星辉 颁奖典礼 杰出 演员 香港 TVB2013 台庆 颁奖礼 许绍雄 My Lady 获得最佳 男配角 周润发 主演 电影 澳门 风云 饰演 奔驰 一角 郑中基 何超仪 主演 电影 第七 谎言 饰演 包租公 回归 电影 使徒 行者
罗乐林，1943年8月11日出生于中国香港，香港TVB合约艺人。1970年加入佳艺电视入行，1976年在古装剧《神雕侠侣》中饰演第一男主角杨过，是第一代杨过。1978年，主演武侠剧《流星蝴蝶剑》饰演孟星魂一角[1] 。1986年主演亚视版的武侠剧《天涯明月刀》[2] 。1990年签约TVB，同年参演《四大名捕重出江湖》，饰演“冷血”，并在温兆伦主演的电视剧《我本善良》中饰演蒋定邦一角[3] 。1992年，参演郑少秋主演的时装剧《大时代》，饰演精神失常的股神叶天。2009年，在刘松仁主演的电视剧《蔡锷与小凤仙》中饰演大总统袁世凯[4] 。2012年，出演警匪剧《雷霆扫毒》。2014年12月15日，夺得TVB万千星辉颁奖典礼专业演员大奖[5] 。	罗乐林 日出 生于 中国香港 香港 TVB 合约 艺人 加入 佳艺 电视 古装剧 神雕侠侣 饰演 第一 男主角 杨过 第一代 杨过 主演 武侠剧 流星 蝴蝶剑 饰演 孟星魂 一角 主演 亚视 武侠剧 天涯 明月刀 签约 TVB 同年 参演 四大名捕 重出江湖 饰演 冷血 温兆伦 主演 电视剧 我本 善良 饰演 蒋定 一角 参演 郑少秋 主演 时装 时代 饰演 精神失常 股神 叶天 刘松仁 主演 电视剧 蔡锷 小凤仙 饰演 大总统 袁世凯 出演 警匪 雷霆 扫毒 夺得 TVB 星辉 颁奖典礼 专业 演员 大奖
孙道临（1921年12月18日—2007年12月28日），原名孙以亮，出生于北京市，原籍浙江省嘉兴市嘉善县，中国内地演员、导演，毕业于燕京大学哲学系。1948年，参演个人首部电影《大团圆》[1] 。1949年，凭借主演的剧情电影《乌鸦与麻雀》获得中国文化部1949—1955年优秀影片评奖个人一等奖[2] 。1954年，主演战争电影《渡江侦察记》[3] 。1959年，由其出演的剧情电影《万紫千红总是春》上映[4] 。1963年，在剧情电影《早春二月》中饰演肖涧秋[5] 。1979年，主演人物传记电影《李四光》[6] 。1984年，自编自导自演剧情电影《雷雨》[7] 。1986年，自导自演剧情电影《非常大总统》[8] 。1988年，担任央视春晚主持人[9] 。1995年，获得电影世纪奖最佳男演员奖[10] 。2000年，与姚寿康联合执导的传记电影《詹天佑》获得第7届中国电影华表奖最佳故事片奖[11] 、中宣部“五个一工程奖”[12] 。2005年，获得中国电影百年百位优秀演员奖[13] 。2007年12月28日，孙道临因突发心脏病在上海华东医院去世，享年86岁[1] 。	孙道临 原名 孙以亮 生于 北京市 原籍 浙江省 嘉兴市 嘉善县 中国 内地 演员 导演 毕业 燕京大学 哲学系 参演 个人 首部 电影 大团圆 主演 剧情 电影 乌鸦 麻雀 获得 中国文化部 优秀 影片 评奖 个人 一等奖 主演 战争 电影 渡江 侦察 出演 剧情 电影 万紫千红 总是 上映 剧情 电影 早春 二月 饰演 肖涧秋 主演 人物传记 电影 李四光 自编 自导自演 剧情 电影 雷雨 自导自演 剧情 电影 非常 大总统 担任 央视春晚 主持人 获得 电影 世纪 最佳 男演员 姚寿康 联合 执导 传记 电影 詹天佑 获得 中国 电影 华表奖 最佳 故事片 中宣部 五个一工程 获得 中国 电影 百年 百位 优秀 演员 孙道临 突发 心脏病 上海 华东 医院 去世 享年
倍赏千惠子(ばいしょうちえこ、Baishouchieko)日本影视演员、歌手。她被认为是当今日本影坛最擅长表现平民女性的明星，享有极高的声誉。她出演的作品近130部，其中，在48集系列喜剧电影《寅次郎的故事》中，她成功地扮演了主人公寅次郎的妹妹樱花。此外，她在《幸福的黄手帕》、《远山的呼唤》等影片中的出色表演也获得了极大的成功。其淳朴无华、清新自然表演风格不仅给日本观众，也给中国观众留下了极其深刻的印象。除了拍电影和电视片外，她还作为歌星活跃在歌坛上。	倍赏 千惠子 Baishouchieko 日本 影视 演员 歌手 认为 当今 日本 影坛 擅长 表现 平民 女性 明星 享有 极高 声誉 出演 作品 系列 喜剧电影 次郎 故事 成功 扮演 主人公 次郎 妹妹 樱花 幸福 黄手帕 远山 呼唤 影片 出色 表演 获得 极大 成功 淳朴 无华 清新自然 表演 风格 日本 观众 中国 观众 留下 极其 深刻 印象 拍电影 电视片 歌星 活跃 歌坛上
井莉（1945年10月29日-2017年12月9日），出生于山东济南，中国台湾影视演员。在台湾金陵高中就学时，曾获台北市美术比赛冠军。六岁时已开始在台湾拍戏，首部作品为《神剑震江湖》，第二部作品《船》是她的成名作，是名作家琼瑶之品。1966年赴香港签约邵氏电影公司成为基本演员，在邵氏十七年，演过超过五十部电影。1969年荣获金马奖最有希望女演员特别奖。在邵氏十七年，井莉演过超过五十部电影，包括张彻执导的《刺马》与《马永贞》，楚原执导的《流星蝴蝶剑》等。《少林与武当》是其最后一部参演的电影，1985年赴台拍摄中视连续剧《楚留香新传》的第二单元‘兰花传奇’。1970年结婚，1980年代中离异。2017年12月9日去世，享年72岁。[1] 	井莉 生于 山东 济南 中国台湾 影视 演员 台湾 金陵 高中 就学 台北市 美术 比赛 冠军 六岁时 台湾 拍戏 首部 作品 神剑 江湖 第二部 作品 成名作 名作家 琼瑶 之品 香港 签约 邵氏 电影 公司 成为 基本演员 邵氏 十七年 超过 电影 荣获 金马奖 最有 希望 女演员 特别奖 邵氏 十七年 井莉 演过 超过 电影 包括 张彻 执导 刺马 马永贞 楚原 执导 流星 蝴蝶剑 少林 武当 最后 一部 参演 电影 拍摄 中视 连续剧 楚留香 新传 单元 兰花 传奇 结婚 年代 离异 去世 享年
梁培宽，1925年生于北京，1933年随父母到山东邹平。文化大革命中下干校劳动三年半，后被分配到中国科学院生物物理研究所，曾任研究所编辑部主任。退休后从事梁漱溟文稿的编辑出版和研究工作。	梁培 生于 北京 父母 山东 邹平 文化大革命 干校 劳动 三年 分配 中国科学院 生物物理 研究所 曾任 研究所 编辑部 主任 退休 从事 梁漱溟 文稿 编辑出版 研究 工作
